CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
3,1.53,13.6,6.86,0.72,42.52,28.95,Wildflower,2675.4,0.66,212.98
8.79,1.6,14.5,3.11,0.82,29.48,32.14,Wildflower,8442.15,0.82,264.51
7.07,1.5,16.23,6.42,0.89,46.98,40.49,Wildflower,2095.04,0.92,296.08
3.93,1.47,22.16,4.09,0.79,23.89,36.81,Wildflower,4053.05,0.82,264.51
6.25,1.35,16.66,4.53,0.76,25.07,37.32,Wildflower,1822.1,1,321.85
4.8,1.71,22.22,5.68,0.78,30.08,23.4,Wildflower,4733.04,0.97,311.22
6.58,1.54,15.41,3.45,0.7,49.28,24.47,Wildflower,7032.35,1,321.85
7.59,1.83,23.25,2.65,0.79,26.44,32.16,Wildflower,8518.41,0.66,212.98
2.25,1.29,19.55,6.63,0.81,38.25,27.65,Wildflower,6781.73,0.68,219.42
3.01,1.47,16.37,4.92,0.89,31.3,25.34,Wildflower,3868.21,0.84,270.95
5.77,1.74,20.32,6.4,0.88,28.47,32.83,Wildflower,8834.47,0.97,312.83
1.42,1.25,20.96,4.32,0.9,33.57,28.07,Wildflower,8125.83,0.84,270.95
8.67,1.24,18.64,2.64,0.87,32,37.6,Wildflower,8673.11,0.68,219.42
1.7,1.22,23.28,7.01,0.83,45.09,30.26,Wildflower,6110.48,0.66,212.98
3.86,1.32,17.17,5.19,0.72,41.71,40.17,Wildflower,7928.91,0.85,272.56
5.16,1.68,17.12,3.07,0.81,38.67,39.81,Wildflower,5069.98,1,321.85
6.92,1.66,23.75,6.48,0.89,28.29,21.36,Wildflower,6190.86,0.95,304.78
1.77,1.84,20.69,3.79,0.88,30.31,35.61,Wildflower,9870.03,0.82,262.26
4.29,1.73,19.74,5.32,0.74,21.77,38.56,Wildflower,1925.09,0.64,204.28
8.23,1.48,12.6,2.79,0.76,37.4,27.83,Wildflower,4572.71,0.68,219.42
1.77,1.69,19.5,3.55,0.84,27.62,23.87,Wildflower,9842.86,0.77,247.76
2.67,1.78,18.26,4.41,0.83,31.64,28.78,Wildflower,8089.03,0.84,270.95
9.79,1.65,14.2,5.03,0.71,37.26,38.79,Wildflower,1876.05,0.66,210.72
1.1,1.84,13.74,2.91,0.75,31.73,44.4,Wildflower,7610.86,0.66,211.37
